NAME,1,2,3,4,5,6,7,8,9,10,11,12
"ABRAHAM 2.5 N, UT US",,,,,,,,,,,,
"AGUA CANYON, UT US",38.4,39.35625,45.85625,51.6625,59.75,72.69375,75.9,73.64117647058822,67.23529411764706,55.15294117647059,46.07647058823529,36.858823529411765
"ALLEN S RANCH, UT US",40.28333333333333,45.32857142857143,55.07142857142857,61.800000000000004,72.3125,83.47999999999999,91.58333333333333,90.7,79.15,67.26666666666667,48.53333333333333,39.839999999999996
"ALPINE, UT US",39.43214285714286,44.09655172413793,54.52222222222222,60.95652173913044,70.77916666666667,82.90434782608695,89.88620689655171,87.39666666666668,79.44545454545454,64.27391304347826,50.53,39.06333333333334
"ALTA, UT US",30.97741935483871,30.403225806451612,36.88,42.44137931034483,52.87419354838709,64.95,73.2,71.27333333333333,62.834482758620695,49.49655172413794,37.65161290322581,29.996666666666666
"ALTAMONT, UT US",31.539285714285715,36.38965517241379,48.98275862068966,56.76896551724138,66.19666666666667,76.96206896551725,84.23666666666666,82.05,73.05862068965517,58.94814814814814,44.371428571428574,31.717857142857145
"ALTON, UT US",41.34,43.03548387096774,51.74193548387097,60.229032258064514,69.65806451612903,80.83,85.36333333333333,83.11666666666666,76.03666666666666,63.829032258064515,51.313793103448276,40.82333333333334
"AMERICAN FORK 1.1 ESE, UT US",,,,,,,,,,,,
"AMERICAN FORK 1.4 NW, UT US",,,,,,,,,,,,
"ANETH PLANT, UT US",38.9,49.85,64.65,72.8,81.8,95.3,100.9,97.1,88.2,75.3,65.0,43.4
"ANGLE, UT US",41.58518518518518,45.15555555555556,53.525925925925925,59.9962962962963,69.49600000000001,80.39230769230768,86.25555555555556,84.11428571428571,77.43571428571428,65.53448275862068,52.717241379310344,41.45384615384615
"AQUA CANYON BRYCE CANYON NP., UT US",38.417857142857144,39.43448275862069,45.93103448275862,51.385185185185186,61.03703703703704,73.21071428571429,77.58214285714287,74.97142857142856,67.94444444444444,55.507407407407406,44.324137931034485,36.951851851851856
"ARAGONITE UTAH, UT US",39.536,43.988,53.42,59.958333333333336,70.3,83.35416666666667,93.64,90.696,80.09583333333333,64.59599999999999,49.96,39.008
"ARCHES NATIONAL PARK HQS, UT US",42.61666666666667,50.86666666666667,63.148275862068964,70.62068965517241,80.78214285714286,93.7448275862069,99.67666666666668,96.63000000000001,87.91000000000001,72.93448275862069,56.693333333333335,42.98571428571428
"ASSAY HATCH 10 SW, UT US",40.1,40.693103448275856,47.425000000000004,54.714814814814815,63.5037037037037,75.375,79.95172413793104,77.9074074074074,71.18888888888888,59.373333333333335,47.35925925925926,38.925925925925924
"BADGER SPRING IVINS 14 W UTAH, UT US",52.26774193548387,54.693333333333335,61.87,69.18333333333334,79.57,90.8896551724138,96.20666666666666,94.28,87.07333333333332,73.61333333333333,60.44827586206897,50.97
"BARNEY RESERVOIR ESCALANTE 1, UT US",42.81666666666666,49.81666666666666,58.65,66.84,75.06,85.97999999999999,92.175,89.97999999999999,82.0,67.15,52.17999999999999,43.260000000000005
"BARTHOLOMEW POWERHOU, UT US",,,,,,,,,,,,
"BEAR LAKE STATE PARK, UT US",35.025,36.093333333333334,45.22,54.96666666666667,64.55,74.97692307692309,83.46000000000001,81.98333333333333,72.90833333333333,59.9,45.225,35.51428571428571
"BEAR RIVER BAY, UT US",35.64,39.7,54.03333333333333,59.800000000000004,75.2,80.43333333333334,81.9,81.0,76.85,61.20000000000001,40.9,35.76666666666667
"BEAR RIVER CITY 2.3 WNW, UT US",,,,,,,,,,,,
"BEAR RIVER RANGER STATION, UT US",37.65555555555555,36.72222222222222,43.63,48.08,56.489999999999995,69.57000000000001,75.81,73.6888888888889,66.85555555555555,53.04,43.160000000000004,35.42
"BEAR RIVER UTAH, UT US",37.04347826086956,36.5,43.38095238095238,49.185,58.015,69.98095238095237,78.56818181818181,76.3,67.6608695652174,54.24782608695652,42.81739130434782,35.165217391304346
"BEAVER 0.5 WNW, UT US",,,,,,,,,,,,
"BEAVER 0.8 E, UT US",,,,,,,,,,,,
"BEAVER 15 E, UT US",30.266666666666666,25.5,34.166666666666664,38.36666666666667,49.63333333333333,65.05,65.25,63.0,55.75,44.13333333333333,35.166666666666664,26.5
"BEAVER CANYON POWER HOUSE, UT US",40.647368421052626,41.60526315789474,49.11578947368421,55.31333333333334,66.16190476190476,78.64761904761905,82.7695652173913,80.9,74.08947368421053,61.28,49.58571428571429,39.5
"BEAVER DAMS, UT US",40.33888888888889,40.28333333333333,46.666666666666664,51.06111111111111,58.5611111111111,70.94444444444444,77.25,74.92222222222222,67.78947368421052,54.56842105263158,45.92777777777778,38.94736842105263
"BEAVER DIVIDE, UT US",33.263333333333335,35.91724137931034,43.79677419354839,48.73870967741936,58.23548387096774,69.79354838709678,78.17333333333333,75.9448275862069,66.73225806451612,52.593548387096774,39.666666666666664,31.336666666666666
"BEN LOMOND PEAK, UT US",32.189655172413794,33.46666666666667,41.02333333333333,46.37419354838709,55.04,65.46451612903226,75.45,73.75333333333333,64.21,50.7,38.516129032258064,30.740000000000002
"BEN LOMOND TRAIL, UT US",35.12777777777777,38.71111111111111,47.077777777777776,53.19444444444444,61.955555555555556,72.4421052631579,81.35263157894737,79.35263157894737,70.61578947368422,56.731578947368426,44.578947368421055,34.55263157894737
"BENSON 1.0 SSW, UT US",,,,,,,,,,,,
"BEVANS CABIN, UT US",37.144444444444446,41.02222222222222,48.22,52.65,61.56,74.89,82.61,79.47,70.7,56.529999999999994,43.65,35.0
"BIG FLAT, UT US",29.516666666666666,30.823333333333334,38.74516129032258,44.58064516129032,52.81612903225806,62.81290322580645,67.86129032258064,65.53103448275863,58.50322580645161,45.91724137931034,36.03448275862069,28.33448275862069
